# of reads,# of items in equivalence class,isoforms in equivalence class
12,2,"ENST00000402157, ENST00000531498"
12,12,"ENST00000644683, ENST00000682424, ENST00000642892, ENST00000299427, ENST00000647152, ENST00000643439, ENST00000644810, ENST00000533371, ENST00000644933, ENST00000645620, ENST00000647209, ENST00000643516"
12,1,ENST00000228140
12,1,ENST00000680261
12,13,"ENST00000454838, ENST00000429789, ENST00000323578, ENST00000531859, ENST00000528426, ENST00000528581, ENST00000525225, ENST00000533056, ENST00000533059, ENST00000534254, ENST00000530939, ENST00000436108, ENST00000449825"
12,4,"ENST00000526280, ENST00000342245, ENST00000533123, ENST00000534405"
11,1,ENST00000334636
11,3,"ENST00000250699, ENST00000526599, ENST00000534359"
11,3,"ENST00000335475, ENST00000496887, ENST00000155840"
11,4,"ENST00000433961, ENST00000682968, ENST00000380034, ENST00000684655"
11,4,"ENST00000443524, ENST00000419348, ENST00000531058, ENST00000451739"
11,3,"ENST00000430469, ENST00000533262, ENST00000227868"
11,1,ENST00000328221
11,5,"ENST00000529708, ENST00000278174, ENST00000525108, ENST00000527102, ENST00000526841"
11,4,"ENST00000531205, ENST00000397632, ENST00000332725, ENST00000431843"
11,6,"ENST00000527728, ENST00000325207, ENST00000527696, ENST00000526104, ENST00000530889, ENST00000526982"
11,4,"ENST00000529903, ENST00000414517, ENST00000610573, ENST00000278319"
11,18,"ENST00000464441, ENST00000396993, ENST00000532523, ENST00000496834, ENST00000465307, ENST00000278243, ENST00000479072, ENST00000493547, ENST00000528216, ENST00000463452, ENST00000464229, ENST00000300730, ENST00000532017, ENST00000464906, ENST00000396986, ENST00000477358, ENST00000396991, ENST00000475884"
11,7,"ENST00000397404, ENST00000530404, ENST00000397406, ENST00000532375, ENST00000397408, ENST00000397397, ENST00000346501"
11,1,ENST00000525981
11,1,ENST00000527494
11,2,"ENST00000529866, ENST00000249923"
11,1,ENST00000447869
11,1,ENST00000533410
11,3,"ENST00000397594, ENST00000493230, ENST00000417302"
11,1,ENST00000462734
11,13,"ENST00000529810, ENST00000322008, ENST00000525718, ENST00000397421, ENST00000530726, ENST00000525333, ENST00000524748, ENST00000530320, ENST00000527341, ENST00000526693, ENST00000528867, ENST00000397420, ENST00000528011"
11,9,"ENST00000673834, ENST00000403482, ENST00000673626, ENST00000403510, ENST00000674108, ENST00000673868, ENST00000673888, ENST00000529388, ENST00000403290"
11,1,ENST00000530762
11,5,"ENST00000345851, ENST00000529529, ENST00000359518, ENST00000528227, ENST00000525074"
11,5,"ENST00000643871, ENST00000419022, ENST00000638914, ENST00000639386, ENST00000606377"
11,4,"ENST00000528995, ENST00000526114, ENST00000396751, ENST00000299421"
11,2,"ENST00000616316, ENST00000399817"
11,5,"ENST00000322008, ENST00000397420, ENST00000528011, ENST00000530726, ENST00000524748"
11,16,"ENST00000445143, ENST00000642928, ENST00000415002, ENST00000525763, ENST00000351554, ENST00000651785, ENST00000395850, ENST00000652678, ENST00000534312, ENST00000528700, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000643183, ENST00000652086, ENST00000533403"
11,2,"ENST00000528097, ENST00000528070"
11,11,"ENST00000436873, ENST00000644683, ENST00000682424, ENST00000644218, ENST00000642892, ENST00000299427, ENST00000533371, ENST00000644933, ENST00000645620, ENST00000647209, ENST00000643516"
11,1,ENST00000454828
11,2,"ENST00000448981, ENST00000530401"
11,1,ENST00000299441
11,5,"ENST00000532947, ENST00000406787, ENST00000403099, ENST00000407364, ENST00000451385"
11,3,"ENST00000397566, ENST00000647801, ENST00000397570"
11,12,"ENST00000323688, ENST00000533773, ENST00000533738, ENST00000530527, ENST00000526120, ENST00000533926, ENST00000531172, ENST00000530964, ENST00000529313, ENST00000646648, ENST00000529010, ENST00000528644"
11,1,ENST00000533464
11,11,"ENST00000644683, ENST00000682424, ENST00000642892, ENST00000299427, ENST00000647209, ENST00000643439, ENST00000533371, ENST00000645620, ENST00000644810, ENST00000647152, ENST00000643516"
11,4,"ENST00000527735, ENST00000533773, ENST00000529010, ENST00000527580"
11,1,ENST00000545467
11,3,"ENST00000396197, ENST00000535484, ENST00000543987"
10,5,"ENST00000530913, ENST00000530022, ENST00000532359, ENST00000526562, ENST00000314138"
10,1,ENST00000536719
10,1,ENST00000397420
10,11,"ENST00000530613, ENST00000533328, ENST00000265965, ENST00000532265, ENST00000532389, ENST00000530925, ENST00000525920, ENST00000525422, ENST00000529151, ENST00000529728, ENST00000528200"
10,2,"ENST00000335425, ENST00000309737"
10,9,"ENST00000530613, ENST00000527494, ENST00000265965, ENST00000532265, ENST00000532389, ENST00000524716, ENST00000525422, ENST00000529728, ENST00000528200"
10,12,"ENST00000397404, ENST00000525201, ENST00000397396, ENST00000397397, ENST00000397411, ENST00000409543, ENST00000409531, ENST00000397406, ENST00000527644, ENST00000532375, ENST00000397408, ENST00000346501"
10,9,"ENST00000636571, ENST00000433655, ENST00000678991, ENST00000637387, ENST00000236671, ENST00000636615, ENST00000636397, ENST00000438213, ENST00000636843"
10,3,"ENST00000528200, ENST00000265965, ENST00000525422"
10,1,ENST00000532378
10,4,"ENST00000335425, ENST00000309737, ENST00000343202, ENST00000526962"
10,4,"ENST00000527494, ENST00000265965, ENST00000525422, ENST00000528200"
10,4,"ENST00000397510, ENST00000397512, ENST00000526170, ENST00000488769"
10,13,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000524446, ENST00000680554, ENST00000328194, ENST00000680294, ENST00000680742, ENST00000679568, ENST00000680470, ENST00000530044"
10,3,"ENST00000448187, ENST00000529361, ENST00000455338"
10,1,ENST00000525681
10,1,ENST00000430811
10,3,"ENST00000643183, ENST00000652086, ENST00000533403"
10,6,"ENST00000524564, ENST00000532837, ENST00000529382, ENST00000382743, ENST00000525319, ENST00000526854"
10,1,ENST00000651485
10,2,"ENST00000465995, ENST00000527731"
10,6,"ENST00000397004, ENST00000359171, ENST00000532475, ENST00000324932, ENST00000397007, ENST00000650171"
10,2,"ENST00000530506, ENST00000530541"
10,8,"ENST00000529539, ENST00000429789, ENST00000323578, ENST00000454838, ENST00000534207, ENST00000528581, ENST00000436108, ENST00000449825"
10,1,ENST00000524827
10,1,ENST00000524932
10,1,ENST00000537806
10,3,"ENST00000620138, ENST00000380542, ENST00000532325"
10,3,"ENST00000616316, ENST00000680197, ENST00000399817"
10,13,"ENST00000675281, ENST00000676387, ENST00000689128, ENST00000689342, ENST00000689258, ENST00000688344, ENST00000690944, ENST00000676324, ENST00000530741, ENST00000689940, ENST00000692716, ENST00000256190, ENST00000689597"
10,9,"ENST00000534797, ENST00000525701, ENST00000397614, ENST00000529768, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000354420, ENST00000438658"
10,19,"ENST00000638184, ENST00000640081, ENST00000639878, ENST00000638984, ENST00000350638, ENST00000640342, ENST00000639570, ENST00000474374, ENST00000640231, ENST00000640533, ENST00000638482, ENST00000640961, ENST00000395934, ENST00000639097, ENST00000640790, ENST00000379163, ENST00000638347, ENST00000638917, ENST00000640954"
10,1,ENST00000351554
10,2,"ENST00000614314, ENST00000254584"
10,3,"ENST00000414641, ENST00000379965, ENST00000414897"
10,1,ENST00000325147
10,2,"ENST00000397570, ENST00000348655"
10,1,ENST00000526025
10,6,"ENST00000380097, ENST00000380107, ENST00000621176, ENST00000507320, ENST00000445329, ENST00000278302"
10,3,"ENST00000682968, ENST00000684655, ENST00000380027"
10,9,"ENST00000530181, ENST00000650027, ENST00000533792, ENST00000299492, ENST00000528883, ENST00000525597, ENST00000684215, ENST00000684123, ENST00000529575"
10,1,ENST00000429789
10,3,"ENST00000335475, ENST00000526095, ENST00000155840"
9,3,"ENST00000456517, ENST00000379016, ENST00000525975"
9,13,"ENST00000429789, ENST00000323578, ENST00000531859, ENST00000528426, ENST00000528581, ENST00000525840, ENST00000525225, ENST00000533056, ENST00000533059, ENST00000534254, ENST00000530939, ENST00000436108, ENST00000449825"
9,3,"ENST00000526900, ENST00000256733, ENST00000529528"
9,1,ENST00000438658
9,8,"ENST00000526360, ENST00000431279, ENST00000315204, ENST00000396672, ENST00000454443, ENST00000447869, ENST00000457885, ENST00000687296"
9,3,"ENST00000530067, ENST00000532837, ENST00000529055"
9,1,ENST00000688963
9,7,"ENST00000531037, ENST00000525235, ENST00000614314, ENST00000445086, ENST00000423813, ENST00000254584, ENST00000396777"
9,5,"ENST00000531859, ENST00000528426, ENST00000534254, ENST00000436108, ENST00000533059"
9,2,"ENST00000531540, ENST00000533410"
9,2,"ENST00000526337, ENST00000300747"
9,3,"ENST00000448903, ENST00000332231, ENST00000528195"
9,1,ENST00000528313
9,7,"ENST00000380097, ENST00000278302, ENST00000621176, ENST00000354852, ENST00000507320, ENST00000445329, ENST00000380107"
9,3,"ENST00000415148, ENST00000531110, ENST00000428726"
9,2,"ENST00000524486, ENST00000525028"
9,4,"ENST00000415148, ENST00000428726, ENST00000524922, ENST00000528455"
9,1,ENST00000681180
9,1,ENST00000447399
9,8,"ENST00000526757, ENST00000526099, ENST00000534278, ENST00000534127, ENST00000313726, ENST00000530991, ENST00000526062, ENST00000530438"
9,5,"ENST00000526395, ENST00000397632, ENST00000431843, ENST00000531205, ENST00000332725"
9,1,ENST00000534136
9,5,"ENST00000529876, ENST00000534506, ENST00000396648, ENST00000299576, ENST00000529942"
9,8,"ENST00000687890, ENST00000528815, ENST00000534328, ENST00000332231, ENST00000448903, ENST00000687792, ENST00000528195, ENST00000693238"
9,5,"ENST00000005082, ENST00000620374, ENST00000534569, ENST00000399602, ENST00000526601"
9,3,"ENST00000527146, ENST00000681577, ENST00000679765"
9,2,"ENST00000399602, ENST00000620374"
9,2,"ENST00000526600, ENST00000527636"
9,6,"ENST00000396197, ENST00000543987, ENST00000541984, ENST00000535484, ENST00000396196, ENST00000300038"
9,13,"ENST00000673834, ENST00000403482, ENST00000524392, ENST00000673626, ENST00000403510, ENST00000674108, ENST00000673868, ENST00000403290, ENST00000401424, ENST00000673892, ENST00000529388, ENST00000389707, ENST00000673888"
9,3,"ENST00000451590, ENST00000397596, ENST00000417302"
9,1,ENST00000429814
9,5,"ENST00000531110, ENST00000415148, ENST00000525211, ENST00000428726, ENST00000526553"
9,5,"ENST00000524661, ENST00000396991, ENST00000532017, ENST00000489571, ENST00000528216"
9,2,"ENST00000464906, ENST00000278243"
9,2,"ENST00000532287, ENST00000526776"
9,7,"ENST00000533542, ENST00000396604, ENST00000299606, ENST00000438144, ENST00000396597, ENST00000530463, ENST00000396602"
9,2,"ENST00000465995, ENST00000526042"
9,3,"ENST00000407364, ENST00000406787, ENST00000451385"
9,9,"ENST00000525776, ENST00000530067, ENST00000528469, ENST00000529382, ENST00000529055, ENST00000525237, ENST00000532956, ENST00000532837, ENST00000382743"
9,5,"ENST00000333256, ENST00000451491, ENST00000437110, ENST00000440813, ENST00000380996"
9,1,ENST00000532017
9,5,"ENST00000533182, ENST00000532326, ENST00000532788, ENST00000330243, ENST00000525445"
9,13,"ENST00000640231, ENST00000640081, ENST00000638482, ENST00000638376, ENST00000640961, ENST00000395934, ENST00000639878, ENST00000640790, ENST00000638984, ENST00000638347, ENST00000639570, ENST00000638917, ENST00000640954"
9,2,"ENST00000396213, ENST00000280706"
9,1,ENST00000642047
9,4,"ENST00000454584, ENST00000524701, ENST00000278187, ENST00000532398"
9,3,"ENST00000530266, ENST00000532505, ENST00000532081"
9,5,"ENST00000533540, ENST00000534624, ENST00000453788, ENST00000227378, ENST00000532636"
9,3,"ENST00000646564, ENST00000335475, ENST00000155840"
9,9,"ENST00000650027, ENST00000533792, ENST00000527790, ENST00000299492, ENST00000528883, ENST00000525597, ENST00000684215, ENST00000684123, ENST00000529575"
9,12,"ENST00000637915, ENST00000433655, ENST00000678991, ENST00000429746, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000636615, ENST00000636397, ENST00000438213, ENST00000636843, ENST00000367196"
9,5,"ENST00000620138, ENST00000380542, ENST00000526115, ENST00000492685, ENST00000532325"
9,2,"ENST00000536528, ENST00000430553"
9,1,ENST00000526608
9,2,"ENST00000530170, ENST00000534440"
9,1,ENST00000334956
9,3,"ENST00000254579, ENST00000639224, ENST00000354685"
9,3,"ENST00000493230, ENST00000462734, ENST00000417302"
9,2,"ENST00000528333, ENST00000335185"
9,1,ENST00000534343
9,5,"ENST00000524564, ENST00000525237, ENST00000532956, ENST00000382743, ENST00000526854"
9,9,"ENST00000529810, ENST00000322008, ENST00000397421, ENST00000530726, ENST00000524748, ENST00000527341, ENST00000526693, ENST00000528011, ENST00000397420"
9,7,"ENST00000532919, ENST00000527651, ENST00000526596, ENST00000616714, ENST00000300737, ENST00000532610, ENST00000533977"
9,4,"ENST00000299596, ENST00000528080, ENST00000527813, ENST00000611268"
9,3,"ENST00000530496, ENST00000265963, ENST00000534641"
9,10,"ENST00000636571, ENST00000433655, ENST00000429746, ENST00000678991, ENST00000236671, ENST00000637815, ENST00000427721, ENST00000438213, ENST00000636843, ENST00000367196"
9,1,ENST00000396751
9,19,"ENST00000396993, ENST00000532523, ENST00000496834, ENST00000490830, ENST00000465307, ENST00000278243, ENST00000479072, ENST00000493547, ENST00000528216, ENST00000469307, ENST00000532017, ENST00000300730, ENST00000464229, ENST00000464906, ENST00000464261, ENST00000396986, ENST00000459679, ENST00000396991, ENST00000463452"
9,21,"ENST00000464441, ENST00000396993, ENST00000532523, ENST00000496834, ENST00000490830, ENST00000465307, ENST00000278243, ENST00000479072, ENST00000493547, ENST00000528216, ENST00000463452, ENST00000469307, ENST00000532017, ENST00000300730, ENST00000464229, ENST00000464906, ENST00000464261, ENST00000396986, ENST00000477358, ENST00000396991, ENST00000475884"
8,9,"ENST00000515022, ENST00000354852, ENST00000506134, ENST00000445329, ENST00000380107, ENST00000278302, ENST00000621176, ENST00000507320, ENST00000380097"
8,2,"ENST00000396986, ENST00000300730"
8,4,"ENST00000328221, ENST00000681761, ENST00000528780, ENST00000681821"
8,5,"ENST00000227378, ENST00000533540, ENST00000534624, ENST00000453788, ENST00000526110"
8,1,ENST00000528120
8,12,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000680554, ENST00000328194, ENST00000528725, ENST00000533737, ENST00000680294, ENST00000679568, ENST00000680470"
8,6,"ENST00000529937, ENST00000524564, ENST00000532837, ENST00000529382, ENST00000382743, ENST00000525319"
8,4,"ENST00000533540, ENST00000534624, ENST00000227378, ENST00000453788"
8,18,"ENST00000675281, ENST00000689128, ENST00000688739, ENST00000693212, ENST00000687300, ENST00000689940, ENST00000693022, ENST00000676387, ENST00000533770, ENST00000687256, ENST00000687210, ENST00000688206, ENST00000676324, ENST00000690806, ENST00000692716, ENST00000693201, ENST00000686079, ENST00000256190"
8,5,"ENST00000442151, ENST00000278385, ENST00000525688, ENST00000263398, ENST00000425428"
8,2,"ENST00000537760, ENST00000529237"
8,6,"ENST00000352303, ENST00000431206, ENST00000525665, ENST00000529372, ENST00000528906, ENST00000532097"
8,13,"ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000525211, ENST00000528455, ENST00000442151, ENST00000526669, ENST00000527889, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
8,1,ENST00000418988
8,1,ENST00000534668
8,3,"ENST00000526982, ENST00000527468, ENST00000527696"
8,4,"ENST00000415148, ENST00000263398, ENST00000526025, ENST00000428726"
8,4,"ENST00000309377, ENST00000534147, ENST00000396648, ENST00000299576"
8,4,"ENST00000442151, ENST00000525688, ENST00000263398, ENST00000425428"
8,11,"ENST00000675281, ENST00000676387, ENST00000689128, ENST00000689342, ENST00000688344, ENST00000690944, ENST00000676324, ENST00000689940, ENST00000525040, ENST00000692716, ENST00000256190"
8,1,ENST00000511927
8,4,"ENST00000342245, ENST00000533123, ENST00000531303, ENST00000534405"
8,4,"ENST00000415148, ENST00000531110, ENST00000526553, ENST00000428726"
8,16,"ENST00000640081, ENST00000639878, ENST00000350638, ENST00000638764, ENST00000640342, ENST00000639570, ENST00000640231, ENST00000474374, ENST00000640533, ENST00000638482, ENST00000640961, ENST00000395934, ENST00000379163, ENST00000638347, ENST00000638917, ENST00000640954"
8,6,"ENST00000532444, ENST00000524711, ENST00000323213, ENST00000533439, ENST00000531921, ENST00000531120"
8,16,"ENST00000527723, ENST00000526152, ENST00000532484, ENST00000320230, ENST00000528936, ENST00000531534, ENST00000531214, ENST00000456706, ENST00000627843, ENST00000481290, ENST00000533385, ENST00000625752, ENST00000629634, ENST00000628067, ENST00000625419, ENST00000528606"
8,9,"ENST00000422559, ENST00000315204, ENST00000534493, ENST00000396672, ENST00000358872, ENST00000418597, ENST00000447869, ENST00000457885, ENST00000687296"
8,2,"ENST00000526711, ENST00000532063"
8,2,"ENST00000530360, ENST00000320230"
8,4,"ENST00000537806, ENST00000526711, ENST00000420936, ENST00000532063"
8,5,"ENST00000534603, ENST00000319863, ENST00000526325, ENST00000528309, ENST00000397472"
8,6,"ENST00000454838, ENST00000529539, ENST00000323578, ENST00000534207, ENST00000532909, ENST00000449825"
8,8,"ENST00000397404, ENST00000397396, ENST00000397397, ENST00000409543, ENST00000409531, ENST00000397406, ENST00000527644, ENST00000397408"
8,12,"ENST00000644683, ENST00000682424, ENST00000645285, ENST00000642892, ENST00000644218, ENST00000299427, ENST00000647152, ENST00000644810, ENST00000533371, ENST00000645620, ENST00000643439, ENST00000643516"
8,2,"ENST00000432887, ENST00000602733"
8,1,ENST00000528770
8,2,"ENST00000641169, ENST00000641124"
8,10,"ENST00000531348, ENST00000614442, ENST00000650127, ENST00000533500, ENST00000526198, ENST00000524763, ENST00000530636, ENST00000533256, ENST00000318562, ENST00000534755"
8,6,"ENST00000533182, ENST00000532326, ENST00000532788, ENST00000533190, ENST00000330243, ENST00000525445"
8,4,"ENST00000636097, ENST00000610573, ENST00000278319, ENST00000636606"
8,2,"ENST00000641238, ENST00000642108"
8,1,ENST00000528947
8,2,"ENST00000413761, ENST00000534690"
8,4,"ENST00000396197, ENST00000535484, ENST00000320750, ENST00000543987"
8,3,"ENST00000531688, ENST00000681577, ENST00000679765"
8,12,"ENST00000532484, ENST00000320230, ENST00000533385, ENST00000481290, ENST00000529351, ENST00000628067, ENST00000625419, ENST00000531534, ENST00000531214, ENST00000531437, ENST00000627843, ENST00000528606"
8,6,"ENST00000527494, ENST00000265965, ENST00000532546, ENST00000528200, ENST00000529151, ENST00000525422"
8,1,ENST00000265978
8,2,"ENST00000411829, ENST00000347755"
8,3,"ENST00000636113, ENST00000530489, ENST00000355661"
8,6,"ENST00000528723, ENST00000396553, ENST00000529507, ENST00000396554, ENST00000444303, ENST00000529834"
8,1,ENST00000396554
8,1,ENST00000646648
8,2,"ENST00000532359, ENST00000526562"
8,5,"ENST00000532927, ENST00000448981, ENST00000534136, ENST00000529137, ENST00000265651"
8,1,ENST00000299613
8,8,"ENST00000429541, ENST00000354599, ENST00000620374, ENST00000438262, ENST00000005082, ENST00000343338, ENST00000399602, ENST00000526601"
8,2,"ENST00000397614, ENST00000527485"
8,15,"ENST00000651785, ENST00000445143, ENST00000395850, ENST00000642928, ENST00000652678, ENST00000528700, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000415002, ENST00000525763, ENST00000652086, ENST00000643183, ENST00000351554, ENST00000533403"
8,6,"ENST00000528815, ENST00000687890, ENST00000332231, ENST00000688963, ENST00000693238, ENST00000448903"
8,6,"ENST00000534797, ENST00000525701, ENST00000397614, ENST00000397615, ENST00000397604, ENST00000354420"
8,1,ENST00000646038
8,5,"ENST00000429541, ENST00000354599, ENST00000620374, ENST00000343338, ENST00000399602"
8,2,"ENST00000361367, ENST00000532365"
7,1,ENST00000263646
7,4,"ENST00000530702, ENST00000528562, ENST00000532570, ENST00000339995"
7,13,"ENST00000414370, ENST00000396604, ENST00000299606, ENST00000526657, ENST00000417726, ENST00000496276, ENST00000530463, ENST00000412390, ENST00000438144, ENST00000532577, ENST00000396602, ENST00000531943, ENST00000534265"
7,12,"ENST00000675281, ENST00000676387, ENST00000689128, ENST00000689342, ENST00000689258, ENST00000688344, ENST00000690944, ENST00000676324, ENST00000689940, ENST00000692716, ENST00000256190, ENST00000689597"
7,2,"ENST00000396554, ENST00000534047"
7,13,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000680554, ENST00000526707, ENST00000328194, ENST00000680294, ENST00000530044, ENST00000680742, ENST00000679568, ENST00000527896"
7,15,"ENST00000534544, ENST00000673834, ENST00000673626, ENST00000531665, ENST00000403510, ENST00000533520, ENST00000673817, ENST00000674108, ENST00000527998, ENST00000482049, ENST00000403290, ENST00000673888, ENST00000673892, ENST00000389707, ENST00000401424"
7,1,ENST00000249923
7,1,ENST00000448418
7,1,ENST00000309166
7,10,"ENST00000528218, ENST00000429541, ENST00000354599, ENST00000620374, ENST00000438262, ENST00000005082, ENST00000528410, ENST00000343338, ENST00000399602, ENST00000526601"
7,10,"ENST00000533182, ENST00000397566, ENST00000397570, ENST00000532326, ENST00000533190, ENST00000647801, ENST00000348655, ENST00000532788, ENST00000330243, ENST00000525445"
7,16,"ENST00000530861, ENST00000525950, ENST00000532997, ENST00000395981, ENST00000395978, ENST00000439476, ENST00000438929, ENST00000395986, ENST00000533246, ENST00000525528, ENST00000395983, ENST00000356660, ENST00000530786, ENST00000314915, ENST00000418212, ENST00000533131"
7,16,"ENST00000675281, ENST00000689128, ENST00000693212, ENST00000687300, ENST00000689940, ENST00000693022, ENST00000676387, ENST00000533770, ENST00000687256, ENST00000687210, ENST00000688206, ENST00000676324, ENST00000692716, ENST00000693201, ENST00000686079, ENST00000256190"
7,1,ENST00000639878
7,3,"ENST00000528995, ENST00000526114, ENST00000299421"
7,3,"ENST00000379163, ENST00000395934, ENST00000640231"
7,2,"ENST00000414138, ENST00000397582"
7,2,"ENST00000462734, ENST00000468682"
7,1,ENST00000241051
7,3,"ENST00000334274, ENST00000527661, ENST00000530419"
7,9,"ENST00000525502, ENST00000354599, ENST00000525313, ENST00000526501, ENST00000528796, ENST00000530643, ENST00000005082, ENST00000399602, ENST00000533036"
7,4,"ENST00000321505, ENST00000526400, ENST00000658780, ENST00000265654"
7,1,ENST00000684123
7,4,"ENST00000642928, ENST00000651785, ENST00000395850, ENST00000652678"
7,17,"ENST00000445143, ENST00000642928, ENST00000415002, ENST00000525763, ENST00000351554, ENST00000527926, ENST00000651785, ENST00000395850, ENST00000652678, ENST00000528700, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000651485, ENST00000652086, ENST00000643183, ENST00000533403"
7,2,"ENST00000643183, ENST00000351554"
7,2,"ENST00000641835, ENST00000641156"
7,1,ENST00000681577
7,4,"ENST00000433961, ENST00000380034, ENST00000684655, ENST00000380027"
7,3,"ENST00000419850, ENST00000396847, ENST00000380034"
7,13,"ENST00000526025, ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000525211, ENST00000442151, ENST00000526669, ENST00000527889, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
7,2,"ENST00000278385, ENST00000433892"
7,1,ENST00000681833
7,1,ENST00000429801
7,1,ENST00000280467
7,1,ENST00000335185
7,11,"ENST00000421485, ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000418975, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000451814, ENST00000457279"
7,11,"ENST00000530613, ENST00000527494, ENST00000265965, ENST00000532265, ENST00000532389, ENST00000530925, ENST00000525920, ENST00000525422, ENST00000529151, ENST00000529728, ENST00000528200"
7,4,"ENST00000531066, ENST00000637162, ENST00000530489, ENST00000355661"
7,3,"ENST00000532265, ENST00000532546, ENST00000533241"
7,8,"ENST00000315204, ENST00000422559, ENST00000534493, ENST00000396672, ENST00000358872, ENST00000418597, ENST00000447869, ENST00000687296"
7,1,ENST00000533626
7,1,ENST00000524608
6,3,"ENST00000527580, ENST00000533773, ENST00000529010"
6,4,"ENST00000673892, ENST00000389707, ENST00000401424, ENST00000673817"
6,1,ENST00000527479
6,1,ENST00000531205
6,14,"ENST00000415148, ENST00000525211, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000528455, ENST00000525685, ENST00000442151, ENST00000531873, ENST00000531110, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
6,5,"ENST00000397632, ENST00000431843, ENST00000531205, ENST00000332725, ENST00000530494"
6,2,"ENST00000602735, ENST00000680622"
6,1,ENST00000524439
6,5,"ENST00000525015, ENST00000530609, ENST00000534686, ENST00000532805, ENST00000334636"
6,3,"ENST00000415148, ENST00000525688, ENST00000533222"
6,11,"ENST00000278386, ENST00000415148, ENST00000525211, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000526669, ENST00000352818, ENST00000428726, ENST00000526025, ENST00000434472"
6,11,"ENST00000397404, ENST00000525201, ENST00000397396, ENST00000397397, ENST00000397411, ENST00000409543, ENST00000409531, ENST00000397406, ENST00000527644, ENST00000532375, ENST00000397408"
6,1,ENST00000411482
6,7,"ENST00000300038, ENST00000396197, ENST00000543987, ENST00000541984, ENST00000320750, ENST00000396196, ENST00000379387"
6,6,"ENST00000527494, ENST00000265965, ENST00000528200, ENST00000529151, ENST00000525920, ENST00000525422"
6,7,"ENST00000687890, ENST00000528815, ENST00000534328, ENST00000332231, ENST00000687792, ENST00000693238, ENST00000448903"
6,1,ENST00000525077
6,8,"ENST00000680197, ENST00000680619, ENST00000681833, ENST00000527146, ENST00000616316, ENST00000399817, ENST00000681211, ENST00000533141"
6,1,ENST00000382671
6,1,ENST00000529548
6,3,"ENST00000529372, ENST00000431206, ENST00000532097"
6,1,ENST00000529866
6,1,ENST00000532097
6,1,ENST00000525776
6,2,"ENST00000532956, ENST00000382743"
6,1,ENST00000533770
6,9,"ENST00000675281, ENST00000676387, ENST00000689128, ENST00000689342, ENST00000688344, ENST00000690944, ENST00000689940, ENST00000692716, ENST00000256190"
6,1,ENST00000526248
6,4,"ENST00000382762, ENST00000410108, ENST00000325147, ENST00000529614"
6,12,"ENST00000530613, ENST00000527494, ENST00000265965, ENST00000532265, ENST00000532389, ENST00000530925, ENST00000533328, ENST00000525920, ENST00000525422, ENST00000529151, ENST00000529728, ENST00000528200"
6,2,"ENST00000533410, ENST00000354420"
6,3,"ENST00000396553, ENST00000529834, ENST00000524866"
6,4,"ENST00000642928, ENST00000652086, ENST00000426650, ENST00000533403"
6,8,"ENST00000686001, ENST00000685854, ENST00000690068, ENST00000382409, ENST00000689835, ENST00000529717, ENST00000692634, ENST00000687329"
6,3,"ENST00000528070, ENST00000528097, ENST00000530440"
6,1,ENST00000465313
6,4,"ENST00000526325, ENST00000397472, ENST00000534603, ENST00000319863"
6,3,"ENST00000684477, ENST00000406071, ENST00000303697"
6,6,"ENST00000531331, ENST00000526776, ENST00000648582, ENST00000534812, ENST00000532287, ENST00000278200"
6,1,ENST00000526776
6,1,ENST00000534812
6,1,ENST00000530496
6,2,"ENST00000534320, ENST00000264555"
6,4,"ENST00000379163, ENST00000640342, ENST00000350638, ENST00000640533"
6,14,"ENST00000527723, ENST00000532484, ENST00000320230, ENST00000533385, ENST00000481290, ENST00000529351, ENST00000628067, ENST00000625419, ENST00000531534, ENST00000531214, ENST00000531514, ENST00000531437, ENST00000627843, ENST00000528606"
6,1,ENST00000639570
6,1,ENST00000537258
6,10,"ENST00000396525, ENST00000526148, ENST00000530702, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000339995, ENST00000528562, ENST00000532570, ENST00000525681"
6,18,"ENST00000527723, ENST00000526152, ENST00000532484, ENST00000320230, ENST00000529351, ENST00000531534, ENST00000531214, ENST00000456706, ENST00000531437, ENST00000627843, ENST00000481290, ENST00000533385, ENST00000625752, ENST00000527734, ENST00000628067, ENST00000625419, ENST00000531514, ENST00000528606"
